"id","name","code","account_type","reconcile","name@vi_VN","tag_ids"
"chart337","Progress billings for construction contracts","337","liability_payable","True","Thanh toán theo tiến độ hợp đồng xây dựng","l10n_vn.operating_trade_payable"
"chart33811","Surplus of assets awaiting for resolution - short term","33811","liability_payable","True","Tài sản thừa chờ giải quyết - ngắn hạn","l10n_vn.operating_trade_receivable"
"chart33812","Surplus of assets awaiting for resolution - long term","33812","liability_payable","True","Tài sản thừa chờ giải quyết - dài hạn","l10n_vn.operating_trade_payable"
"chart33821","Trade union fees - short term","33821","liability_payable","True","Kinh phí công đoàn - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33822","Trade union fees - long term","33822","liability_payable","True","Kinh phí công đoàn - dài hạn","l10n_vn.operating_trade_payable"
"chart33831","Social insurance - short term","33831","liability_payable","True","Bảo hiểm xã hội - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33832","Social insurance - long term","33832","liability_payable","True","Bảo hiểm xã hội - dài hạn","l10n_vn.operating_trade_payable"
"chart33841","Health insurance - short term","33841","liability_payable","True","Bảo hiểm y tế - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33842","Health insurance - long term","33842","liability_payable","True","Bảo hiểm y tế - dài hạn","l10n_vn.operating_trade_payable"
"chart33861","Unemployment insurance - short term","33861","liability_payable","True","Bảo hiểm thất nghiệp - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33862","Unemployment insurance - long term","33862","liability_payable","True","Bảo hiểm thất nghiệp - dài hạn","l10n_vn.operating_trade_payable"
"chart33871","Unearned revenue - short term","33871","liability_current","True","Doanh thu chưa thực hiện - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33872","Unearned revenue - long term","33872","liability_current","True","Doanh thu chưa thực hiện - dài hạn","l10n_vn.operating_trade_payable"
"chart33881","Other payables - short term","33881","liability_payable","True","Phải trả, phải nộp khác - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33882","Other payables - long term","33882","liability_payable","True","Phải trả, phải nộp khác - dài hạn","l10n_vn.operating_trade_payable"
"chart34111","Borrowings - short term","34111","liability_payable","True","Các khoản đi vay - ngắn hạn","l10n_vn.finance_receipt_borrowing,l10n_vn.finance_borrowing_repay"
"chart34112","Borrowings - long term","34112","liability_payable","True","Các khoản đi vay - dài hạn","l10n_vn.finance_receipt_borrowing,l10n_vn.finance_borrowing_repay"
"chart34121","Financial leased liabilities - short term","34121","liability_current","False","Nợ thuê tài chính - ngắn hạn","l10n_vn.finance_fin_lease_repay"
"chart34122","Financial leased liabilities - long term","34122","liability_current","False","Nợ thuê tài chính - dài hạn","l10n_vn.finance_fin_lease_repay"
"chart34311","Ordinary bonds - Short term","34311","liability_current","False","Trái phiếu thường - ngắn hạn","l10n_vn.finance_receipt_borrowing,l10n_vn.finance_borrowing_repay"
"chart34312","Ordinary bonds - Long term","34312","liability_current","False","Trái phiếu thường - dài hạn","l10n_vn.finance_receipt_borrowing,l10n_vn.finance_borrowing_repay"
"chart3432","Convertible bonds","3432","liability_current","False","Trái phiếu chuyển đổi","l10n_vn.finance_receipt_borrowing,l10n_vn.finance_borrowing_repay"
"chart3441","Deposits received - short term","3441","liability_current","False","Nhận ký quỹ, ký cược - ngắn hạn","l10n_vn.operating_trade_payable"
"chart3442","Deposits received - long term","3442","liability_current","False","Nhận ký quỹ, ký cược - dài hạn","l10n_vn.operating_trade_payable"
