code,id,stripe_name,name
5131,piece_goods_notions_and_other_dry_goods,piece_goods_notions_and_other_dry_goods,Piece Goods Notions and Other Dry Goods
5137,uniforms_commercial_clothing,uniforms_commercial_clothing,Uniforms Commercial Clothing
5139,commercial_footwear,commercial_footwear,Commercial Footwear
5169,chemicals_and_allied_products,chemicals_and_allied_products,Chemicals and Allied Products
5172,petroleum_and_petroleum_products,petroleum_and_petroleum_products,Petroleum and Petroleum Products
5192,books_periodicals_and_newspapers,books_periodicals_and_newspapers,Books Periodicals and Newspapers
5193,florists_supplies_nursery_stock_and_flowers,florists_supplies_nursery_stock_and_flowers,Florists Supplies Nursery Stock and Flowers
5198,paints_varnishes_and_supplies,paints_varnishes_and_supplies,Paints Varnishes and Supplies
5199,nondurable_goods,nondurable_goods,Nondurable Goods
5200,home_supply_warehouse_stores,home_supply_warehouse_stores,Home Supply Warehouse Stores
5211,lumber_building_materials_stores,lumber_building_materials_stores,Lumber Building Materials Stores
5231,glass_paint_and_wallpaper_stores,glass_paint_and_wallpaper_stores,Glass Paint and Wallpaper Stores
5251,hardware_stores,hardware_stores,Hardware Stores
5261,nurseries_lawn_and_garden_supply_stores,nurseries_lawn_and_garden_supply_stores,Nurseries Lawn and Garden Supply Stores
5262,marketplaces,marketplaces,Marketplaces
5271,mobile_home_dealers,mobile_home_dealers,Mobile Home Dealers
5300,wholesale_clubs,wholesale_clubs,Wholesale Clubs
5309,duty_free_stores,duty_free_stores,Duty Free Stores
5310,discount_stores,discount_stores,Discount Stores
5311,department_stores,department_stores,Department Stores
5331,variety_stores,variety_stores,Variety Stores
5399,miscellaneous_general_merchandise,miscellaneous_general_merchandise,Miscellaneous General Merchandise
5411,grocery_stores_supermarkets,grocery_stores_supermarkets,Grocery Stores Supermarkets
5422,freezer_and_locker_meat_provisioners,freezer_and_locker_meat_provisioners,Freezer and Locker Meat Provisioners
5441,candy_nut_and_confectionery_stores,candy_nut_and_confectionery_stores,Candy Nut and Confectionery Stores
5451,dairy_products_stores,dairy_products_stores,Dairy Products Stores
5462,bakeries,bakeries,Bakeries
5499,miscellaneous_food_stores,miscellaneous_food_stores,Miscellaneous Food Stores
